Source,Target
Cmaj7,Dm7
Dm7,Em7
Em7,Ebdim7
Ebdim7,Dm7
Dm7,G7
G7,Cmaj7
Cmaj7,Bb13
Bb13,Am
Am,Am7.5+
Am7.5+,Am7
Am7,A7
A7,Dm7
Cmaj7,C7
C7,Fmaj7
Fmaj7,Gbdim7
Gbdim7,Cmaj7
Cmaj7,Gbm7
Gbm7,F7.5-
F7.5-,Em7
Em7,Eb7
Eb7,Am7.9
Am7.9,D7
D7,Dm7
Fmaj7,Dm7
Dm7,Bm7
Bm7,Bb9.11+
Bb9.11+,Am7
Am7,Ab9
Ab9,Cmaj7
Cmaj7,Am7
Am7,Dm7
G7,C6
C7,F7
F7,Gbdim7
Gbdim7,C7
C7,Dm7
Dm7,G7
G7,C7
Am,A9+
A9+,Dm
Dm,Bm7.5-
Bm7.5-,E9+
E9+,Am
Am,Dm
Dm,G7
G7,Cmaj7
Cmaj7,Bm7.5-
Am,E9+
Cmaj7,Am7
Am7,Dm7
Dm7,G7
G7,Cmaj7
Cmaj7,Gm7
Gm7,C9-
C9-,F6
F6,Bb9
Bb9,Em7
Em7,Am7
Am7,Ab7
Ab7,D9-
D9-,G9-
G9-,Cmaj7
Cmaj7,Ebdim7
Ebdim7,Dm7
Dm7,G7.5+
G7.5+,Cmaj7
Cmaj7,Dm7
Dm7,Gm7
F6,Gbdim7
Gbdim7,Cmaj7
Cmaj7,D7
D7,Em7
Em7,Ebmaj7
Ebmaj7,Dm7
Dm7,D9
D9,Dm7
Cmaj7,Eb9
Eb9,Abmaj7
Abmaj7,Dbmaj7
Dbmaj7,Cmaj7
C6,Fm7
Fm7,Bb7
Bb7,Em7
Em7,A7
A7,Dm7
Dm7,G7
G7,Cmaj7
Cmaj7,Am7
Am7,Dm7
G7,Em7.5-
Em7.5-,A7
G7,C6
C6,Dm7
G7,Dm7
C6,Gm7
Gm7,C7
C7,F
F,E7
E7,Am7
Am7,D7
D7,Dm7
Dm7,Ab7
Ab7,G7
G7,C
C,Em7.5-
