Source,Target,Type
Am,Am7+,Directed
Am7+,Am7,Directed
Am7,Am6,Directed
Am6,Am7,Directed
Am7,Am7+,Directed
Am7+,Am,Directed
Am,E7/9-,Directed
E7/9-,Am,Directed
Am6,C,Directed
C,Fm5-/7,Directed
Fm5-/7,F,Directed
F,Em7,Directed
Em7,Dm7,Directed
Dm7,Em7,Directed
Em7,F,Directed
F,C,Directed
C,E7,Directed
E7,Am,Directed
E7,Am7,Directed
Am7,E7,Directed
E7,C,Directed
C,F#m5-/7,Directed
F#m5-/7,F,Directed
F,G6,Directed
G6,C,Directed
C,Em7,Directed
Em7,Am7,Directed
Dm7,G7,Directed
G7,Am,Directed
C,Fm#5-/7,Directed
Fm#5-/7,F,Directed
E7,Dm7,Directed
F,G#7,Directed
G#7,G7,Directed
G7,Cmaj7,Directed
Cmaj7,Am,Directed
Am6,E7/9-,Directed
E7/9-,C,Directed
C7,Am7,Directed
Am7,Dm7,Directed
Dm7,G7,Directed
G7,C,Directed
C,F7,Directed
F7,G7,Directed
G7,C7,Directed
C7,E7,Directed
E7,F7,Directed
F7,Fm,Directed
Fm,Fm7,Directed
Fm7,C7,Directed
C,Am7,Directed
Am7,D7,Directed
D7,G7,Directed
G7,E7,Directed
E7,Am7,Directed
Am7,F7,Directed
F7,D7,Directed
D7,A7,Directed
A7,D7,Directed
D7,Am7,Directed
G7,G#,Directed
G#,G7,Directed
C,F,Directed
F,Fm7,Directed
Fm7,C,Directed
C,G7,Directed
G7,C6,Directed
C6,C7,Directed
F7,E7,Directed
E7,Fm,Directed
Fm7,D7,Directed
A7,G#,Directed
G#,F,Directed
F,C6,Directed
Am7,G,Directed
G,G7,Directed
G7,C,Directed
C,Cdim7,Directed
Cdim7,G,Directed
G,G/F#,Directed
G/F#,Em7,Directed
Em7,A7,Directed
A7,D7,Directed
D7,G,Directed
G,D,Directed
D,G,Directed
G,C7,Directed
C7,Cdim7,Directed
G,Em7,Directed
G,Em,Directed
Em,Am,Directed
Am,G,Directed
G,Cdim7,Directed
Em7,Am7,Directed
Cdim7,G/F#,Directed
D7,D,Directed
D,G,Directed
C7,Em,Directed
Bm5-/7,E7/13-,Directed
E7/13-,Am7,Directed
Am7,E7/13-,Directed
Am7,D7,Directed
D7,G,Directed
G,Gmaj7,Directed
Gmaj7,Em,Directed
Em,Am7,Directed
Am7,Am5-/7,Directed
Am5-/7,D7,Directed
Gmaj7,G7/13,Directed
G7/13,G7,Directed
G7,Am7,Directed
G,G7,Directed
G7,F#m7,Directed
F#m7,B7,Directed
B7,E,Directed
E,E7,Directed
E7,Em7,Directed
Em7,A7,Directed
A7,D7,Directed
D7,Am7,Directed
G7,Em,Directed
Am7,Am7/D,Directed
Am7/D,Am5-/7,Directed
Am,Am6,Directed
Am6,Bm7,Directed
Bm7,E7,Directed
E7,Am,Directed
Am6,Em5-/7,Directed
Em5-/7,A7/9-,Directed
A7/9-,Dm,Directed
Dm,Dm7+,Directed
Dm7+,Dm7,Directed
Dm7,Dm7/13,Directed
Dm7/13,E7,Directed
E7,A#7,Directed
A#7,E7,Directed
E7,Amaj7,Directed
Amaj7,Am,Directed
E7,A,Directed
A,Bm,Directed
Bm,E7,Directed
A,Em5-/7,Directed
A7/9-,Dm7,Directed
Dm7,A#,Directed
A#,E7,Directed
E7,C,Directed
C,Cmaj7,Directed
Cmaj7,E7,Directed
E7,Dm,Directed
Dm,E7,Directed
A,Am,Directed
G7,G7/13-,Directed
G7/13-,C6,Directed
C6,Cmaj7,Directed
Cmaj7,Em7,Directed
Em7,Gm,Directed
Gm,A9,Directed
A9,Dm7,Directed
Dm7,Dm6,Directed
Dm6,Am,Directed
Am,G9/13-,Directed
G9/13-,Em7,Directed
Em7,A9,Directed
A9,D7,Directed
D7,Am,Directed
Am,G7,Directed
G7,C6/9,Directed
C6/9,Am7,Directed
Am7,Dm7,Directed
Dm7,G7,Directed
Cmaj7,C6/9,Directed
C6/9,Am,Directed
Am,Dm7,Directed
Dm7,G4/7,Directed
G4/7,G7,Directed
G7,G6,Directed
G6,C6,Directed
