Source;Target;Type
Ddim;Em;Directed
C9;E;Directed
Gm7;Cmaj7;Directed
D7/9;D7;Directed
G6;Adim;Directed
Cm;G7;Directed
C6;A#7;Directed
F6;Am;Directed
Fm7;C7;Directed
C7;A#;Directed
C5+;Am6;Directed
A;F;Directed
Am6;C;Directed
F9;Fm;Directed
Fm7;D7;Directed
G;Gm7;Directed
C;G#;Directed
Am6;Bb9;Directed
G7/13-;G4/7/9;Directed
E7/9-;Am;Directed
F7;E;Directed
D;Cm;Directed
A;Dm;Directed
A7;G#7;Directed
Dm;F7;Directed
A;C7;Directed
Em7;C;Directed
Gm5-/7;A7;Directed
Cdim;Dm;Directed
F9;Cmaj7;Directed
D5-/7;Fmaj7;Directed
Ddim;C;Directed
Fmaj7;Cm;Directed
D#;A#7;Directed
G7;G7/13;Directed
A9;G7;Directed
D7;Am5-/7;Directed
A#maj7;Cmaj7;Directed
Cm;C7;Directed
G4/7;F;Directed
Em6;Cdim;Directed
A#7;A7;Directed
E;F7;Directed
G#;G7;Directed
Gsus4;Cmaj7;Directed
Cm;D7;Directed
A4/7;D9;Directed
C;Gdim;Directed
G7;F/G;Directed
F7;Fm;Directed
A7/9-;Dm;Directed
Gsus4;G;Directed
A#dim;G9;Directed
Cm;A#;Directed
A7;Gm5-/7;Directed
A7;G#dim;Directed
C#;C;Directed
Cm;G#m;Directed
D9;D5-/7;Directed
Fm7;Cm;Directed
F7;G;Directed
Fm6;Dm7/5-;Directed
C;C#;Directed
C7+;C7;Directed
G;G/F#;Directed
Fm;D#dim;Directed
C5-/7;C;Directed
G;F7;Directed
A9;D7;Directed
Am;E7/13-;Directed
E;B;Directed
Em7;Em7/A;Directed
Gm7;Em7;Directed
Gm;G7;Directed
Bm;Am;Directed
C6/9;Dm7;Directed
Dm7;Ddim;Directed
D#dim;Cmaj7;Directed
Edim;Cmaj7;Directed
A;G#dim;Directed
D#;C#;Directed
D#dim;G;Directed
A#dim;C;Directed
A9;C6;Directed
E7;Fm;Directed
Am/D;E;Directed
G7;A#;Directed
A#;Gm7;Directed
Cmaj7;C9;Directed
Fdim;C;Directed
C7;D#dim;Directed
C7/9;C9;Directed
G7;G4/7;Directed
Am9;Am;Directed
G#;G#m;Directed
Dm;Dm7+;Directed
Em7;Gsus4;Directed
Gm;F;Directed
G#;D#;Directed
Em;F#m;Directed
C6;Fm5-/7;Directed
G7/13-;G7;Directed
D#;G7;Directed
A#dim;Dm7;Directed
C9;Gm;Directed
C;A7/9-;Directed
G#;G#7;Directed
Adim;D7;Directed
D7;D;Directed
C#9;Fm;Directed
Gm7;Em;Directed
Gmaj7;G7/13;Directed
Cmaj7;Dm;Directed
Am5-/7;A7;Directed
Gmaj7;Em;Directed
Bm5-/7;E7/13-;Directed
D7/9-;Gm;Directed
Dm7;G7/13;Directed
Em;F#m7;Directed
C/A;E;Directed
G7;A#dim;Directed
Am7;Am7+;Directed
D9;G#m5-/7;Directed
Dm7;Dm6;Directed
D#;F;Directed
Am7;D#dim;Directed
Bb9;E7;Directed
F9;G7/13;Directed
G7;G#dim;Directed
A#6;Gm;Directed
C6/9;Am;Directed
D#;C7;Directed
Gdim;A7;Directed
A#;A;Directed
Csus4;Gm7;Directed
F/G;C;Directed
C;C7/13-;Directed
D#dim;Ddim;Directed
Am;Cm;Directed
C6;Cdim;Directed
D;Cmaj7;Directed
E7;A9;Directed
G7;F#m5-/7;Directed
C;Cdim;Directed
F;A;Directed
G7;Bm4/7;Directed
D;G;Directed
Dmaj7;G7;Directed
D9;D#dim;Directed
D7;Fdim;Directed
G7/13-;C6;Directed
C;Cdim7;Directed
D7;A#7;Directed
A;E;Directed
F;G/C;Directed
D7;F9;Directed
Gsus4;G7;Directed
Gm7;A#;Directed
C/A;G;Directed
E;F#m;Directed
G7;F6;Directed
D#7;F#7;Directed
G;Fdim;Directed
F7/9;A;Directed
Fdim;Am;Directed
F9;Dm;Directed
C9;C;Directed
E;F#7;Directed
G;F9;Directed
G#maj7;A#maj7;Directed
Dm7;A#;Directed
G#m5-/7;C#m7;Directed
G7/13;C;Directed
Bdim;C;Directed
Cdim;E7;Directed
A#add9;Gm7;Directed
G7;C#7;Directed
D#;Cm;Directed
Em;C7;Directed
D#dim;Em;Directed
Am/G;Am;Directed
F#m5-/7;Bm5-/7;Directed
A7;G#;Directed
A#dim;D#dim;Directed
D7;D#7;Directed
Am7;E7;Directed
D#dim;G7;Directed
A#;D;Directed
Bm4/7;Bb7/11+;Directed
A;G;Directed
Cdim;G;Directed
Gm;Am6;Directed
C9;A#;Directed
F;D;Directed
G;C5+;Directed
Dm7/G;Dm5-/7;Directed
F#m;Em;Directed
Em;C6;Directed
A7/13-;Dm7;Directed
D;F#m;Directed
G#;F#;Directed
Fmaj7;Ddim;Directed
Cmaj7;D#dim;Directed
Gm7;Gm5-/7;Directed
Fm#5-/7;F;Directed
F;G;Directed
F7;A#6;Directed
F;C7/5+;Directed
Em;Cdim;Directed
G;F#m7;Directed
F6;F5;Directed
Cm;G;Directed
D#;Dm5-/7;Directed
