Source;Target;Type
Ddim;Em;Directed
C9;E;Directed
D7/9;D7;Directed
G6;Adim;Directed
F#m5-/7;C7;Directed
D7;Amaj7;Directed
Gm;A#dim;Directed
F6;Am;Directed
Fm7;C7;Directed
F#m7;B7;Directed
E7/13-;Am7;Directed
Fm7;A5+;Directed
A;F;Directed
F9;Fm;Directed
C7;G7/13-;Directed
G7;C5-/7;Directed
Fm7;D7;Directed
G;Gm7;Directed
C6;A#dim;Directed
G6;E7;Directed
Dm7;Cdim;Directed
Adim;Am;Directed
A7;G#7;Directed
Cdim;Dm;Directed
Gm5-/7;A7;Directed
F9;Cmaj7;Directed
Ddim;C;Directed
D7;Ddim;Directed
Am;Am7+;Directed
G7;G7/13;Directed
Bm;D#m;Directed
Am;Am/D;Directed
A7;Fdim;Directed
Dm7+;Dm7;Directed
A#;E7;Directed
A#7;E7;Directed
Cmaj7;Am;Directed
Em;Dm;Directed
C7;Fdim;Directed
Cm;C7;Directed
G4/7;F;Directed
A#7;A7;Directed
Fdim;A;Directed
Dm;Em;Directed
G#;G7;Directed
A4/7;D9;Directed
C;Gdim;Directed
G;Em7;Directed
F7;Fm;Directed
A7/9-;Dm;Directed
A#dim;G9;Directed
A7;Gm5-/7;Directed
E4/7;E7;Directed
Fm6;Gm;Directed
D9;D5-/7;Directed
C;D#dim;Directed
C4;D7;Directed
Fm;D#dim;Directed
Fm;C#;Directed
C5-/7;C;Directed
G;F7;Directed
Cmaj7;Emaj7;Directed
Am;E7/13-;Directed
A7;Gdim;Directed
Am;E;Directed
Dm7;Ddim;Directed
Edim;Cmaj7;Directed
G;G9;Directed
D#;C#;Directed
A#dim;C;Directed
Am/D;E;Directed
E7;Fm;Directed
Edim;Dm7;Directed
Cmaj7;C9;Directed
Dm;D7;Directed
G;Em;Directed
F6;Dm;Directed
Fdim;C;Directed
F9;Am;Directed
G7;G4/7;Directed
Dm;Dm7+;Directed
G;G7;Directed
Dm5-/7;C;Directed
Gm;F;Directed
Em;F#m;Directed
G7/13-;G7;Directed
D#;G7;Directed
Am;Fm;Directed
A#dim;Dm7;Directed
A4/7;A7;Directed
C;A7/9-;Directed
Fdim;Cmaj7;Directed
Adim;D7;Directed
Fdim;G;Directed
Em5-/7;A7;Directed
C#9;Fm;Directed
Bb;G7/13-;Directed
G7;Fdim;Directed
D#m7;G7;Directed
C7;C4/7;Directed
C7;G7;Directed
Gm7;Em;Directed
Gmaj7;G7/13;Directed
Cmaj7;Dm;Directed
G7;F9;Directed
Gmaj7;Em;Directed
Bm5-/7;E7/13-;Directed
G7;A#dim;Directed
Dm7;Dm6;Directed
F5;Dm7;Directed
D;C;Directed
Amaj7;Am;Directed
A7;Fm5-/7;Directed
F9;G7/13;Directed
G7;G#dim;Directed
A7;F;Directed
D#;C7;Directed
Fm;A7;Directed
C;C7/13-;Directed
D#dim;Ddim;Directed
Am7+;Am7;Directed
Am6;Bm7;Directed
E7/A;C;Directed
C6;Cdim;Directed
Fm;C7/13-;Directed
D;Cmaj7;Directed
G7;F#m5-/7;Directed
C;Cdim;Directed
F;A;Directed
Bm5-/7;E7;Directed
D;G;Directed
Fm;Cdim;Directed
Dmaj7;G7;Directed
D7;Fdim;Directed
Dm;F#m5-/7;Directed
C7/13-;F;Directed
D7;A#7;Directed
G7;F#m7;Directed
Ddim;G7;Directed
D7;F9;Directed
Am7;E7/13-;Directed
Cdim;Adim;Directed
G7;F6;Directed
G;Fdim;Directed
Am6;F;Directed
Fdim;Am;Directed
C9;C;Directed
Am7;F;Directed
G;F9;Directed
Dm7;A#;Directed
G7/13;C;Directed
F5;Fm7;Directed
Cdim;E7;Directed
A#;C;Directed
G7;C#7;Directed
C#;G7;Directed
G;G#dim;Directed
F4/7;F7;Directed
A7;G#;Directed
C;Bm;Directed
Am7;E7;Directed
D#dim;G7;Directed
A#;D;Directed
C7;Cm;Directed
A;G;Directed
Cdim;G;Directed
C;Ddim;Directed
Dm7;Fdim;Directed
F;D;Directed
Dm7/G;Dm5-/7;Directed
F#m;Em;Directed
Em;C6;Directed
Dm7;A#7;Directed
D7;D#dim;Directed
D#6;Cdim;Directed
Dm7;F9;Directed
Ddim;C6;Directed
Fmaj7;Ddim;Directed
Cmaj7;D#dim;Directed
Gm7;Gm5-/7;Directed
F;G;Directed
Em;Cdim;Directed
F6;F5;Directed
D9;D7;Directed
G#dim;C;Directed
D#;Dm5-/7;Directed
Dm7;D#m7;Directed
C;C#9;Directed
E;C#7;Directed
G#;F;Directed
C#;C7;Directed
F;Bm5-/7;Directed
D#dim;Fm6;Directed
Fdim;G7;Directed
Emaj7;E7;Directed
C9;B7;Directed
C;G7/9;Directed
C7;Gdim;Directed
G4/7;Dm7;Directed
E7;C;Directed
Dm5-/7;G7;Directed
Em5-/7;A7/9-;Directed
Cm;Cm6;Directed
Gm5-/7;A#dim;Directed
C7;F4/7;Directed
C;C5-/7;Directed
C4/7;F6;Directed
C9;F9;Directed
Dm;A5+;Directed
Dm7;Dm7/13;Directed
A#dim;F;Directed
G#7;A#dim;Directed
