Id;Label
1;A
2;A#
3;A#/A
4;A#6
5;A#6/C
6;A#7
7;A#9
8;A#add9
9;A#dim
10;A#m
11;A#m6
12;A#m7
13;A#m7/5-
14;A#maj7
15;A13
16;A4/7
17;A5+
18;A6
19;A7
20;A7.3-.5-.9-.11-.13-
21;A7.5+
22;A7.5+.9
23;A7.5+.9+
24;A7.5+.9-
25;A7.5-
26;A7.5-.9-
27;A7.9-.5+
28;A7/13-
29;A7/9
30;A7/9-
31;A7M
32;A9
33;A9+
34;A9-
35;Ab
36;Ab11+
37;Ab13
38;Ab6
39;Ab7
40;Ab7.5+
41;Ab7.5-
42;Ab9
43;Abaug
44;Abdim
45;Abdim7
46;Abm7
47;Abm9
48;Abmaj7
49;Adim
50;Adim7
51;Am
52;Am/C
53;Am/D
54;Am/G
55;Am11
56;Am5+
57;Am5-/7
58;Am6
59;Am7
60;Am7+
61;Am7.5+
62;Am7.5-
63;Am7.9
64;Am7/D
65;Am7/F
66;Am7/G
67;Am9
68;Amaj7
69;Amaj9
70;B
71;B6
72;B6.9
73;B7
74;B7.3-.5-.9-.11-.13-
75;B7.5+
76;B7.5+.9+
77;B7.5-
78;B7.5-.9-
79;B9
80;B9-
81;Bb
82;Bb13
83;Bb6
84;Bb6.9
85;Bb7
86;Bb7.5+
87;Bb7.5+.9
88;Bb7.5-
89;Bb7/11+
90;Bb7M
91;Bb9
92;Bb9-
93;Bb9.11+
94;Bbaug
95;Bbdim
96;Bbdim7
97;Bbm
98;Bbm6
99;Bbm7
100;Bbm7.5-
101;Bbmaj
102;Bbmaj7
103;Bbmaj7.11+
104;Bbmaj9
105;Bdim
106;Bdim7
107;Bm
108;Bm11
109;Bm4/7
110;Bm5-/7
111;Bm7
112;Bm7.5-
113;Bm7.9-
114;Bmaj7
115;Bsus4.7
116;C
117;C#
118;C#7
119;C#9
120;C#m
121;C#m7
122;C/A
123;C/B
124;C/E
125;C/F
126;C11
127;C13
128;C4
129;C4/7
130;C5+
131;C5-/7
132;C6
133;C6.9
134;C6/9
135;C7
136;C7+
137;C7.5+
138;C7.5+.9
139;C7.5-
140;C7/13-
141;C7/5+
142;C7/9
143;C7M
144;C9
145;C9+
146;C9-
147;Caug
148;Cdim
149;Cdim7
150;Cm
151;Cm11
152;Cm6
153;Cm7
154;Cm9
155;Cmaj
156;Cmaj7
157;Cmaj9
158;Csus4
159;D
160;D#
161;D#6
162;D#7
163;D#9
164;D#dim
165;D#m
166;D#m7
167;D5-/7
168;D7
169;D7.5+
170;D7.5-
171;D7/13
172;D7/9
173;D7/9-
174;D7M
175;D9
176;D9-
177;Db
178;Db6
179;Db7
180;Db7.5-
181;Db9
182;Db9+
183;Db9-
184;Dbdim
185;Dbdim7
186;Dbm
187;Dbm7
188;Dbm7.5-
189;Dbmaj7
190;Dbmaj9
191;Ddim
192;Ddim7
193;Dm
194;Dm/C
195;Dm11
196;Dm5-/7
197;Dm6
198;Dm6.9
199;Dm7
200;Dm7+
201;Dm7.5+
202;Dm7.5-
203;Dm7.9
204;Dm7/13
205;Dm7/5-
206;Dm7/9
207;Dm7/C
208;Dm7/G
209;Dm9
210;Dmaj
211;Dmaj7
212;E
213;E4/7
214;E6
215;E7
216;E7.5+
217;E7.5+.9+
218;E7.5+.9-
219;E7.5-
220;E7.5-.9-
221;E7/13-
222;E7/9-
223;E7/A
224;E7/B
225;E7M
226;E9
227;E9+
228;E9-
229;Eaug
230;Eb
231;Eb6
232;Eb7
233;Eb7.5+
234;Eb7.5-
235;Eb9
236;Eb9+
237;Eb9-
238;Eb9.11+
239;Ebaug
240;Ebdim
241;Ebdim7
242;Ebm7
243;Ebmaj7
244;Edim
245;Edim7
246;Em
247;Em5-/7
248;Em6
249;Em7
250;Em7.5+
251;Em7.5-
252;Em7/5-
253;Em7/A
254;Emaj7
255;F
256;F#
257;F#7
258;F#dim
259;F#m
260;F#m5-/7
261;F#m7
262;F#maj7
263;F/A
264;F/C
265;F/D
266;F/E
267;F/G
268;F13
269;F4/7
270;F5
271;F6
272;F6.9
273;F7
274;F7.5+
275;F7.5-
276;F7/9
277;F7/A
278;F7/C
279;F7M
280;F9
281;F9-
282;F9.11+
283;Faug
284;Fdim
285;Fdim7
286;Fm
287;Fm#5-/7
288;Fm5-/7
289;Fm6
290;Fm7
291;Fm7.5-
292;Fm7.7+
293;Fmaj7
294;Fmaj9
295;G
296;G#
297;G#7
298;G#9
299;G#dim
300;G#m
301;G#m5-/7
302;G#maj7
303;G/B
304;G/C
305;G/F#
306;G11
307;G13
308;G4/7
309;G4/7/9
310;G5+
311;G5.11
312;G6
313;G6/9
314;G7
315;G7+
316;G7.3-.5-.9-.11-.13-
317;G7.5+
318;G7.5+.9
319;G7.5+.9-
320;G7.5-
321;G7.5-.9-
322;G7/13
323;G7/13-
324;G7/9
325;G7/9-
326;G7/B
327;G7M
328;G9
329;G9+
330;G9-
331;G9/13-
332;Gaug
333;Gb
334;Gb11+
335;Gb13
336;Gb6
337;Gb7
338;Gb7.5+
339;Gb7.5-
340;Gb7.5-.9+
341;Gb9
342;Gb9+
343;Gb9-
344;Gbdim
345;Gbdim7
346;Gbm
347;Gbm11
348;Gbm7
349;Gbm7.5-
350;Gbm9
351;Gbmaj7
352;Gdim
353;Gdim7
354;Gm
355;Gm11
356;Gm5-/7
357;Gm6
358;Gm7
359;Gm7.5-
360;Gm7.9
361;Gm7/5-
362;Gm9
363;Gmaj7
364;Gmaj9
365;Gsus4
366;Gsus4.7
367;Gsus4.9
