Source;Target;Type;Id;Label;Weight
224;180;Directed;;;
170;154;Directed;;;
38;108;Directed;;;
54;31;Directed;;;
170;163;Directed;;;
79;63;Directed;;;
108;133;Directed;;;
163;133;Directed;;;
35;133;Directed;;;
22;105;Directed;;;
198;87;Directed;;;
180;170;Directed;;;
105;54;Directed;;;
154;38;Directed;;;
198;105;Directed;;;
191;133;Directed;;;
133;198;Directed;;;
133;79;Directed;;;
105;133;Directed;;;
191;221;Directed;;;
105;35;Directed;;;
133;170;Directed;;;
105;224;Directed;;;
35;22;Directed;;;
89;191;Directed;;;
63;35;Directed;;;
3;133;Directed;;;
31;36;Directed;;;
35;3;Directed;;;
36;35;Directed;;;
105;89;Directed;;;
221;105;Directed;;;
89;178;Directed;;;
89;133;Directed;;;
133;198;Directed;;;
198;89;Directed;;;
178;221;Directed;;;
221;89;Directed;;;
80;149;Directed;;;
31;149;Directed;;;
31;129;Directed;;;
31;13;Directed;;;
13;129;Directed;;;
105;80;Directed;;;
198;105;Directed;;;
129;80;Directed;;;
149;31;Directed;;;
129;198;Directed;;;
108;170;Directed;;;
28;125;Directed;;;
170;35;Directed;;;
165;133;Directed;;;
163;133;Directed;;;
207;105;Directed;;;
157;28;Directed;;;
35;133;Directed;;;
61;170;Directed;;;
176;221;Directed;;;
198;105;Directed;;;
19;112;Directed;;;
133;198;Directed;;;
200;105;Directed;;;
170;165;Directed;;;
105;133;Directed;;;
125;105;Directed;;;
105;35;Directed;;;
35;19;Directed;;;
105;157;Directed;;;
105;163;Directed;;;
105;108;Directed;;;
105;233;Directed;;;
233;95;Directed;;;
111;133;Directed;;;
133;200;Directed;;;
176;61;Directed;;;
95;176;Directed;;;
221;105;Directed;;;
133;233;Directed;;;
133;111;Directed;;;
112;207;Directed;;;
174;142;Directed;;;
57;170;Directed;;;
133;19;Directed;;;
19;198;Directed;;;
108;133;Directed;;;
198;133;Directed;;;
84;172;Directed;;;
35;133;Directed;;;
89;174;Directed;;;
198;84;Directed;;;
198;87;Directed;;;
198;105;Directed;;;
35;108;Directed;;;
133;198;Directed;;;
198;172;Directed;;;
170;3;Directed;;;
