Source;Target;Type;Id;Label;Weight
224.0;180.0;Directed;;;
170.0;232.0;Directed;;;
63.0;168.0;Directed;;;
82.0;51.0;Directed;;;
170.0;163.0;Directed;;;
111.0;93.0;Directed;;;
168.0;199.0;Directed;;;
163.0;199.0;Directed;;;
59.0;199.0;Directed;;;
42.0;156.0;Directed;;;
198.0;132.0;Directed;;;
180.0;170.0;Directed;;;
156.0;82.0;Directed;;;
232.0;63.0;Directed;;;
198.0;156.0;Directed;;;
191.0;199.0;Directed;;;
199.0;198.0;Directed;;;
199.0;111.0;Directed;;;
156.0;199.0;Directed;;;
191.0;221.0;Directed;;;
156.0;59.0;Directed;;;
199.0;170.0;Directed;;;
156.0;224.0;Directed;;;
59.0;42.0;Directed;;;
135.0;191.0;Directed;;;
93.0;59.0;Directed;;;
19.0;199.0;Directed;;;
51.0;61.0;Directed;;;
59.0;19.0;Directed;;;
61.0;59.0;Directed;;;
156.0;135.0;Directed;;;
221.0;156.0;Directed;;;
135.0;178.0;Directed;;;
135.0;199.0;Directed;;;
199.0;198.0;Directed;;;
198.0;135.0;Directed;;;
178.0;221.0;Directed;;;
221.0;135.0;Directed;;;
112.0;227.0;Directed;;;
51.0;227.0;Directed;;;
51.0;193.0;Directed;;;
51.0;33.0;Directed;;;
33.0;193.0;Directed;;;
156.0;112.0;Directed;;;
198.0;156.0;Directed;;;
193.0;112.0;Directed;;;
227.0;51.0;Directed;;;
193.0;198.0;Directed;;;
168.0;170.0;Directed;;;
48.0;189.0;Directed;;;
170.0;59.0;Directed;;;
165.0;199.0;Directed;;;
163.0;199.0;Directed;;;
207.0;156.0;Directed;;;
235.0;48.0;Directed;;;
59.0;199.0;Directed;;;
91.0;170.0;Directed;;;
176.0;221.0;Directed;;;
198.0;156.0;Directed;;;
39.0;176.0;Directed;;;
199.0;198.0;Directed;;;
200.0;156.0;Directed;;;
170.0;165.0;Directed;;;
156.0;199.0;Directed;;;
189.0;156.0;Directed;;;
156.0;59.0;Directed;;;
59.0;39.0;Directed;;;
156.0;235.0;Directed;;;
156.0;163.0;Directed;;;
156.0;168.0;Directed;;;
156.0;233.0;Directed;;;
233.0;146.0;Directed;;;
175.0;199.0;Directed;;;
199.0;200.0;Directed;;;
176.0;91.0;Directed;;;
146.0;176.0;Directed;;;
221.0;156.0;Directed;;;
199.0;233.0;Directed;;;
199.0;175.0;Directed;;;
176.0;207.0;Directed;;;
174.0;215.0;Directed;;;
85.0;170.0;Directed;;;
199.0;39.0;Directed;;;
39.0;198.0;Directed;;;
168.0;199.0;Directed;;;
198.0;199.0;Directed;;;
116.0;172.0;Directed;;;
59.0;199.0;Directed;;;
135.0;174.0;Directed;;;
198.0;116.0;Directed;;;
198.0;132.0;Directed;;;
198.0;156.0;Directed;;;
59.0;168.0;Directed;;;
199.0;198.0;Directed;;;
198.0;172.0;Directed;;;
170.0;19.0;Directed;;;
172.0;19.0;Directed;;;
156.0;59.0;Directed;;;
188.0;85.0;Directed;;;
132.0;188.0;Directed;;;
233.0;135.0;Directed;;;
