Source;Target;Type
24;32;Directed
32;31;Directed
31;30;Directed
30;31;Directed
31;32;Directed
32;24;Directed
24;111;Directed
111;24;Directed
30;50;Directed
50;148;Directed
148;123;Directed
123;120;Directed
120;100;Directed
100;120;Directed
120;123;Directed
123;50;Directed
50;109;Directed
109;24;Directed
109;31;Directed
31;109;Directed
109;50;Directed
50;128;Directed
128;123;Directed
123;166;Directed
166;50;Directed
50;120;Directed
120;31;Directed
100;168;Directed
168;24;Directed
50;147;Directed
147;123;Directed
109;100;Directed
123;154;Directed
154;168;Directed
168;71;Directed
71;24;Directed
30;111;Directed
111;50;Directed
