Source;Target;Type
66;31;Directed
31;100;Directed
100;168;Directed
168;50;Directed
50;139;Directed
139;168;Directed
168;66;Directed
66;109;Directed
109;139;Directed
139;146;Directed
146;150;Directed
150;66;Directed
50;31;Directed
31;89;Directed
89;168;Directed
168;109;Directed
109;31;Directed
31;139;Directed
139;89;Directed
89;17;Directed
17;89;Directed
89;31;Directed
168;153;Directed
153;168;Directed
50;123;Directed
123;150;Directed
150;50;Directed
50;168;Directed
168;64;Directed
64;66;Directed
139;109;Directed
109;146;Directed
150;89;Directed
17;153;Directed
153;123;Directed
123;64;Directed
