Source;Target;Type
168;171;Directed
171;64;Directed
64;71;Directed
71;120;Directed
120;179;Directed
179;22;Directed
22;100;Directed
100;99;Directed
99;24;Directed
24;177;Directed
177;120;Directed
120;22;Directed
22;89;Directed
89;24;Directed
24;168;Directed
168;65;Directed
65;31;Directed
31;100;Directed
100;168;Directed
71;65;Directed
65;24;Directed
24;100;Directed
100;163;Directed
163;168;Directed
168;166;Directed
166;64;Directed
64;6;Directed
6;17;Directed
17;89;Directed
89;17;Directed
17;22;Directed
22;64;Directed
64;85;Directed
85;81;Directed
81;120;Directed
120;85;Directed
85;85;Directed
85;117;Directed
117;100;Directed
171;50;Directed
50;71;Directed
65;100;Directed
89;155;Directed
155;176;Directed
176;64;Directed
64;31;Directed
31;85;Directed
85;168;Directed
168;64;Directed
64;9;Directed
9;85;Directed
85;155;Directed
31;61;Directed
61;179;Directed
179;30;Directed
30;168;Directed
168;72;Directed
72;179;Directed
179;168;Directed
