Source;Target;Type
66;123;Directed
123;96;Directed
96;95;Directed
95;181;Directed
181;66;Directed
66;3;Directed
3;2;Directed
2;8;Directed
8;181;Directed
123;95;Directed
95;66;Directed
66;66;Directed
66;85;Directed
85;66;Directed
66;89;Directed
89;168;Directed
168;66;Directed
123;66;Directed
66;72;Directed
72;2;Directed
2;66;Directed
66;181;Directed
181;72;Directed
72;181;Directed
181;50;Directed
50;66;Directed
123;139;Directed
139;152;Directed
152;85;Directed
85;2;Directed
2;181;Directed
181;123;Directed
123;134;Directed
134;96;Directed
96;66;Directed
66;2;Directed
123;100;Directed
100;66;Directed
66;1;Directed
1;123;Directed
152;2;Directed
181;3;Directed
