Source;Target;Type
50;100;Directed
100;66;Directed
66;171;Directed
171;50;Directed
50;39;Directed
39;171;Directed
171;168;Directed
168;50;Directed
50;168;Directed
168;73;Directed
73;50;Directed
50;50;Directed
100;73;Directed
50;66;Directed
66;123;Directed
123;146;Directed
146;50;Directed
50;160;Directed
160;31;Directed
31;43;Directed
43;168;Directed
50;152;Directed
152;50;Directed
66;168;Directed
168;171;Directed
123;150;Directed
150;50;Directed
50;57;Directed
57;31;Directed
31;35;Directed
35;168;Directed
57;109;Directed
109;17;Directed
17;19;Directed
19;1;Directed
1;17;Directed
17;80;Directed
80;31;Directed
31;94;Directed
94;168;Directed
168;72;Directed
72;50;Directed
50;71;Directed
71;73;Directed
73;100;Directed
100;120;Directed
120;139;Directed
139;168;Directed
17;123;Directed
123;100;Directed
100;168;Directed
168;170;Directed
170;168;Directed
170;50;Directed
50;123;Directed
146;43;Directed
43;50;Directed
