Source;Target;Type
50;89;Directed
89;168;Directed
168;100;Directed
100;168;Directed
168;50;Directed
50;178;Directed
178;100;Directed
100;73;Directed
73;50;Directed
50;109;Directed
109;143;Directed
143;145;Directed
145;1;Directed
1;50;Directed
145;50;Directed
168;71;Directed
71;143;Directed
143;17;Directed
17;96;Directed
96;24;Directed
24;96;Directed
96;168;Directed
168;117;Directed
117;116;Directed
116;100;Directed
178;96;Directed
96;73;Directed
89;100;Directed
50;57;Directed
57;17;Directed
17;178;Directed
178;117;Directed
178;145;Directed
50;145;Directed
50;50;Directed
100;178;Directed
178;73;Directed
73;109;Directed
145;71;Directed
71;17;Directed
24;117;Directed
116;57;Directed
