Source;Target;Type
100;144;Directed
144;168;Directed
168;98;Directed
98;50;Directed
50;17;Directed
17;100;Directed
100;154;Directed
154;168;Directed
168;50;Directed
50;2;Directed
2;50;Directed
50;53;Directed
53;50;Directed
50;72;Directed
72;144;Directed
144;146;Directed
146;149;Directed
149;50;Directed
50;38;Directed
38;6;Directed
6;17;Directed
17;154;Directed
53;146;Directed
146;150;Directed
150;50;Directed
50;146;Directed
150;9;Directed
9;50;Directed
50;154;Directed
154;51;Directed
51;154;Directed
154;9;Directed
9;154;Directed
168;156;Directed
156;168;Directed
50;109;Directed
109;6;Directed
17;144;Directed
144;98;Directed
98;168;Directed
100;168;Directed
156;50;Directed
50;100;Directed
