Source;Target;Type
104;171;Directed
171;164;Directed
164;173;Directed
173;50;Directed
50;75;Directed
75;152;Directed
152;9;Directed
9;29;Directed
29;89;Directed
89;29;Directed
89;152;Directed
152;95;Directed
95;89;Directed
89;9;Directed
9;22;Directed
22;168;Directed
168;173;Directed
89;94;Directed
94;85;Directed
85;152;Directed
152;38;Directed
38;6;Directed
6;17;Directed
17;120;Directed
120;145;Directed
145;38;Directed
38;107;Directed
107;109;Directed
109;9;Directed
9;109;Directed
109;29;Directed
29;17;Directed
17;29;Directed
17;89;Directed
89;168;Directed
168;171;Directed
171;50;Directed
152;104;Directed
