Source;Target;Type
150;75;Directed
75;150;Directed
150;98;Directed
98;168;Directed
168;50;Directed
50;128;Directed
128;48;Directed
48;109;Directed
109;31;Directed
31;94;Directed
94;66;Directed
66;168;Directed
168;139;Directed
139;77;Directed
77;66;Directed
66;150;Directed
168;29;Directed
29;89;Directed
89;179;Directed
179;181;Directed
181;66;Directed
150;40;Directed
40;120;Directed
120;100;Directed
100;168;Directed
94;158;Directed
158;55;Directed
55;125;Directed
125;109;Directed
109;139;Directed
139;109;Directed
109;17;Directed
17;42;Directed
42;17;Directed
17;89;Directed
89;178;Directed
178;89;Directed
89;31;Directed
31;89;Directed
89;48;Directed
31;100;Directed
168;24;Directed
24;50;Directed
66;66;Directed
29;92;Directed
92;179;Directed
48;118;Directed
118;20;Directed
20;96;Directed
96;181;Directed
66;80;Directed
80;150;Directed
