Source;Target;Type
50;24;Directed
24;50;Directed
24;100;Directed
100;168;Directed
168;50;Directed
50;168;Directed
168;81;Directed
81;168;Directed
50;66;Directed
66;146;Directed
146;50;Directed
50;85;Directed
85;149;Directed
149;168;Directed
168;179;Directed
179;66;Directed
66;123;Directed
123;146;Directed
146;68;Directed
68;85;Directed
85;168;Directed
24;89;Directed
89;168;Directed
85;146;Directed
146;168;Directed
168;66;Directed
50;17;Directed
17;89;Directed
89;123;Directed
123;168;Directed
50;50;Directed
146;85;Directed
81;66;Directed
149;179;Directed
179;123;Directed
