Source;Target;Type
50;168;Directed
168;50;Directed
50;63;Directed
63;50;Directed
63;163;Directed
163;100;Directed
100;163;Directed
100;168;Directed
50;20;Directed
20;100;Directed
168;100;Directed
50;24;Directed
24;96;Directed
96;100;Directed
50;172;Directed
172;168;Directed
100;87;Directed
87;168;Directed
50;71;Directed
71;64;Directed
64;50;Directed
50;163;Directed
163;168;Directed
168;163;Directed
168;71;Directed
64;71;Directed
64;108;Directed
108;109;Directed
109;166;Directed
166;109;Directed
109;23;Directed
23;24;Directed
96;89;Directed
89;100;Directed
109;21;Directed
21;17;Directed
17;96;Directed
96;116;Directed
116;100;Directed
50;50;Directed
50;64;Directed
168;63;Directed
100;20;Directed
20;24;Directed
96;172;Directed
172;87;Directed
87;71;Directed
166;23;Directed
23;89;Directed
89;21;Directed
17;116;Directed
