Source;Target;Type
50;160;Directed
160;24;Directed
24;146;Directed
146;123;Directed
123;66;Directed
66;172;Directed
172;167;Directed
167;66;Directed
66;109;Directed
109;31;Directed
31;35;Directed
35;139;Directed
139;123;Directed
66;17;Directed
17;89;Directed
89;172;Directed
172;109;Directed
109;17;Directed
89;168;Directed
168;66;Directed
172;66;Directed
66;139;Directed
139;66;Directed
109;24;Directed
24;28;Directed
28;30;Directed
30;28;Directed
28;24;Directed
28;31;Directed
31;90;Directed
90;24;Directed
28;123;Directed
123;120;Directed
120;50;Directed
50;89;Directed
31;100;Directed
100;31;Directed
31;140;Directed
140;31;Directed
24;100;Directed
100;24;Directed
24;123;Directed
172;1;Directed
1;17;Directed
66;50;Directed
167;109;Directed
139;17;Directed
168;28;Directed
30;90;Directed
90;120;Directed
50;100;Directed
100;140;Directed
140;1;Directed
