Source;Target;Type
152;168;Directed
168;50;Directed
50;89;Directed
89;152;Directed
152;9;Directed
9;152;Directed
152;64;Directed
64;50;Directed
50;72;Directed
72;144;Directed
144;156;Directed
156;64;Directed
156;50;Directed
72;66;Directed
66;144;Directed
144;138;Directed
138;85;Directed
85;156;Directed
50;78;Directed
78;17;Directed
17;144;Directed
144;168;Directed
72;50;Directed
50;123;Directed
123;144;Directed
144;149;Directed
149;156;Directed
50;64;Directed
149;103;Directed
103;144;Directed
144;100;Directed
100;103;Directed
103;168;Directed
168;64;Directed
50;152;Directed
89;9;Directed
9;64;Directed
64;72;Directed
156;66;Directed
66;138;Directed
85;78;Directed
17;123;Directed
123;149;Directed
