Source;Target;Type
50;24;Directed
24;96;Directed
96;152;Directed
152;50;Directed
50;139;Directed
139;50;Directed
50;66;Directed
66;139;Directed
139;168;Directed
168;153;Directed
153;168;Directed
168;51;Directed
51;50;Directed
139;126;Directed
126;50;Directed
50;168;Directed
168;50;Directed
50;123;Directed
123;50;Directed
139;152;Directed
152;153;Directed
153;152;Directed
152;51;Directed
50;58;Directed
58;123;Directed
123;126;Directed
126;168;Directed
50;50;Directed
152;139;Directed
139;66;Directed
66;168;Directed
153;51;Directed
51;126;Directed
126;123;Directed
123;58;Directed
