Source;Target;Type
50;14;Directed
14;153;Directed
153;130;Directed
130;151;Directed
151;100;Directed
100;79;Directed
79;78;Directed
78;31;Directed
31;181;Directed
181;66;Directed
66;123;Directed
123;120;Directed
120;100;Directed
100;151;Directed
151;78;Directed
78;181;Directed
66;151;Directed
151;150;Directed
150;6;Directed
6;117;Directed
117;17;Directed
17;123;Directed
123;123;Directed
100;78;Directed
79;168;Directed
168;78;Directed
100;183;Directed
183;78;Directed
66;100;Directed
100;150;Directed
150;181;Directed
181;120;Directed
120;17;Directed
79;50;Directed
50;181;Directed
151;75;Directed
75;181;Directed
181;31;Directed
31;78;Directed
123;109;Directed
109;31;Directed
31;89;Directed
89;152;Directed
152;75;Directed
75;168;Directed
168;66;Directed
79;181;Directed
181;78;Directed
151;120;Directed
6;120;Directed
151;123;Directed
78;50;Directed
14;159;Directed
159;14;Directed
14;78;Directed
