Source;Target;Type
73;168;Directed
168;73;Directed
168;176;Directed
176;50;Directed
50;149;Directed
149;64;Directed
64;168;Directed
168;50;Directed
50;168;Directed
50;58;Directed
58;17;Directed
17;180;Directed
180;17;Directed
17;15;Directed
15;17;Directed
15;94;Directed
94;89;Directed
89;94;Directed
94;152;Directed
152;175;Directed
175;168;Directed
168;145;Directed
145;24;Directed
24;107;Directed
107;31;Directed
31;89;Directed
89;31;Directed
31;80;Directed
80;73;Directed
73;152;Directed
152;145;Directed
145;168;Directed
168;152;Directed
152;50;Directed
50;152;Directed
94;31;Directed
31;123;Directed
123;146;Directed
146;73;Directed
73;50;Directed
50;109;Directed
109;24;Directed
24;73;Directed
64;152;Directed
64;73;Directed
64;58;Directed
