Source;Target;Type
50;152;Directed
152;24;Directed
24;50;Directed
50;31;Directed
31;123;Directed
123;100;Directed
100;152;Directed
152;50;Directed
24;120;Directed
120;123;Directed
123;50;Directed
50;100;Directed
100;183;Directed
183;50;Directed
50;123;Directed
183;152;Directed
152;123;Directed
123;123;Directed
100;168;Directed
168;50;Directed
24;117;Directed
117;123;Directed
100;80;Directed
80;152;Directed
100;50;Directed
50;50;Directed
24;31;Directed
100;120;Directed
120;183;Directed
183;168;Directed
168;117;Directed
117;80;Directed
