Source;Target;Type
50;9;Directed
9;181;Directed
181;2;Directed
2;9;Directed
9;66;Directed
66;151;Directed
151;139;Directed
139;138;Directed
138;89;Directed
89;181;Directed
138;2;Directed
9;83;Directed
83;123;Directed
123;89;Directed
89;100;Directed
100;181;Directed
181;168;Directed
168;66;Directed
66;50;Directed
50;1;Directed
1;9;Directed
50;123;Directed
123;2;Directed
2;168;Directed
168;123;Directed
123;168;Directed
66;139;Directed
139;89;Directed
89;168;Directed
139;2;Directed
123;139;Directed
139;181;Directed
9;123;Directed
123;50;Directed
2;66;Directed
89;83;Directed
123;100;Directed
100;168;Directed
