Source;Target;Type
50;57;Directed
57;24;Directed
24;31;Directed
31;120;Directed
120;122;Directed
122;123;Directed
123;134;Directed
134;100;Directed
100;105;Directed
105;50;Directed
50;24;Directed
24;123;Directed
134;50;Directed
50;176;Directed
176;123;Directed
134;117;Directed
117;123;Directed
123;152;Directed
152;168;Directed
168;50;Directed
134;96;Directed
96;24;Directed
24;152;Directed
24;120;Directed
152;152;Directed
24;100;Directed
100;168;Directed
168;152;Directed
57;152;Directed
50;123;Directed
123;50;Directed
50;50;Directed
105;176;Directed
176;117;Directed
117;152;Directed
168;96;Directed
