Source;Target;Type
24;152;Directed
152;123;Directed
123;152;Directed
152;24;Directed
24;50;Directed
50;152;Directed
152;80;Directed
80;24;Directed
80;96;Directed
96;24;Directed
96;96;Directed
96;50;Directed
50;117;Directed
117;123;Directed
152;50;Directed
123;96;Directed
96;152;Directed
123;123;Directed
123;117;Directed
117;96;Directed
96;2;Directed
2;2;Directed
2;152;Directed
50;123;Directed
123;50;Directed
50;96;Directed
96;123;Directed
123;1;Directed
1;24;Directed
50;80;Directed
96;117;Directed
117;2;Directed
2;1;Directed
