Source;Target;Type
24;32;Directed
32;31;Directed
31;30;Directed
30;24;Directed
30;123;Directed
123;100;Directed
100;99;Directed
99;109;Directed
109;96;Directed
96;109;Directed
109;24;Directed
24;109;Directed
109;31;Directed
100;146;Directed
146;168;Directed
168;50;Directed
50;168;Directed
50;100;Directed
100;168;Directed
100;50;Directed
168;71;Directed
71;114;Directed
114;109;Directed
24;143;Directed
143;139;Directed
139;109;Directed
123;48;Directed
48;109;Directed
24;66;Directed
66;123;Directed
123;143;Directed
143;100;Directed
50;139;Directed
50;145;Directed
145;71;Directed
71;24;Directed
96;146;Directed
50;71;Directed
114;143;Directed
