Source;Target;Type
50;73;Directed
73;118;Directed
118;17;Directed
17;96;Directed
96;100;Directed
100;6;Directed
6;168;Directed
168;50;Directed
50;139;Directed
139;6;Directed
6;82;Directed
82;73;Directed
73;152;Directed
152;89;Directed
89;98;Directed
98;168;Directed
168;171;Directed
171;50;Directed
73;168;Directed
168;89;Directed
89;6;Directed
6;81;Directed
81;98;Directed
98;128;Directed
128;66;Directed
66;136;Directed
136;139;Directed
139;1;Directed
1;6;Directed
168;60;Directed
60;89;Directed
89;168;Directed
168;128;Directed
128;50;Directed
73;96;Directed
96;128;Directed
50;50;Directed
