Source;Target;Type
123;89;Directed
89;152;Directed
152;145;Directed
145;50;Directed
50;17;Directed
17;89;Directed
89;95;Directed
95;64;Directed
64;71;Directed
71;72;Directed
72;168;Directed
168;50;Directed
50;71;Directed
71;64;Directed
64;31;Directed
31;123;Directed
123;100;Directed
100;168;Directed
50;168;Directed
168;123;Directed
123;144;Directed
144;50;Directed
168;24;Directed
24;26;Directed
26;168;Directed
50;123;Directed
123;168;Directed
168;95;Directed
95;50;Directed
95;24;Directed
24;31;Directed
168;72;Directed
64;72;Directed
72;107;Directed
107;109;Directed
109;24;Directed
24;123;Directed
100;95;Directed
17;123;Directed
71;123;Directed
17;95;Directed
168;31;Directed
31;100;Directed
100;144;Directed
144;24;Directed
26;107;Directed
