Source;Target;Type
9;100;Directed
100;176;Directed
176;50;Directed
50;46;Directed
46;86;Directed
86;96;Directed
96;48;Directed
48;109;Directed
109;24;Directed
24;31;Directed
31;89;Directed
89;100;Directed
100;168;Directed
168;9;Directed
24;146;Directed
146;50;Directed
50;83;Directed
83;46;Directed
46;32;Directed
32;31;Directed
31;94;Directed
94;88;Directed
88;146;Directed
50;100;Directed
168;24;Directed
9;176;Directed
24;145;Directed
145;50;Directed
50;138;Directed
138;64;Directed
64;9;Directed
