Source;Target;Type
50;50;Directed
50;123;Directed
123;2;Directed
2;50;Directed
123;50;Directed
50;81;Directed
81;123;Directed
123;139;Directed
139;2;Directed
123;96;Directed
96;152;Directed
152;179;Directed
179;50;Directed
50;96;Directed
96;50;Directed
2;146;Directed
146;123;Directed
123;179;Directed
179;123;Directed
152;80;Directed
80;152;Directed
152;50;Directed
50;152;Directed
50;2;Directed
96;2;Directed
96;179;Directed
179;2;Directed
96;123;Directed
123;12;Directed
12;50;Directed
2;123;Directed
2;81;Directed
81;139;Directed
139;96;Directed
179;146;Directed
146;80;Directed
80;12;Directed
