Source;Target;Type
50;31;Directed
31;100;Directed
100;168;Directed
168;50;Directed
50;168;Directed
168;66;Directed
66;123;Directed
123;50;Directed
31;89;Directed
89;168;Directed
50;117;Directed
117;30;Directed
30;117;Directed
117;38;Directed
38;117;Directed
117;73;Directed
73;117;Directed
117;120;Directed
120;129;Directed
129;73;Directed
73;100;Directed
100;50;Directed
50;66;Directed
66;17;Directed
17;96;Directed
96;145;Directed
145;50;Directed
50;40;Directed
40;168;Directed
50;24;Directed
24;50;Directed
50;123;Directed
24;168;Directed
168;100;Directed
50;100;Directed
50;73;Directed
73;168;Directed
24;38;Directed
38;119;Directed
119;73;Directed
117;96;Directed
96;168;Directed
168;24;Directed
24;89;Directed
89;50;Directed
24;96;Directed
50;146;Directed
146;50;Directed
123;168;Directed
50;50;Directed
123;89;Directed
89;117;Directed
30;38;Directed
38;73;Directed
73;120;Directed
129;17;Directed
145;40;Directed
40;24;Directed
24;119;Directed
119;146;Directed
