Source;Target;Type
71;18;Directed
18;100;Directed
100;173;Directed
173;71;Directed
173;72;Directed
72;50;Directed
50;144;Directed
144;168;Directed
168;170;Directed
170;144;Directed
168;72;Directed
144;98;Directed
98;168;Directed
168;79;Directed
79;50;Directed
50;72;Directed
72;144;Directed
144;50;Directed
50;156;Directed
156;50;Directed
50;109;Directed
109;17;Directed
17;156;Directed
156;27;Directed
27;24;Directed
24;98;Directed
98;156;Directed
24;75;Directed
75;72;Directed
72;75;Directed
75;89;Directed
89;152;Directed
152;153;Directed
153;76;Directed
76;85;Directed
85;152;Directed
152;46;Directed
46;31;Directed
31;178;Directed
178;89;Directed
89;98;Directed
168;100;Directed
100;85;Directed
85;178;Directed
178;172;Directed
172;72;Directed
50;181;Directed
181;70;Directed
70;72;Directed
72;70;Directed
70;144;Directed
144;96;Directed
96;17;Directed
17;181;Directed
181;178;Directed
178;17;Directed
17;178;Directed
178;66;Directed
66;123;Directed
123;138;Directed
138;149;Directed
149;1;Directed
1;156;Directed
156;168;Directed
168;50;Directed
50;71;Directed
71;24;Directed
24;85;Directed
85;168;Directed
50;31;Directed
31;100;Directed
100;156;Directed
50;66;Directed
66;178;Directed
178;50;Directed
50;123;Directed
149;149;Directed
149;156;Directed
156;72;Directed
50;24;Directed
24;144;Directed
50;98;Directed
98;173;Directed
173;50;Directed
71;66;Directed
66;72;Directed
100;152;Directed
152;71;Directed
