Source;Target;Type
69;138;Directed
138;156;Directed
156;83;Directed
83;66;Directed
66;31;Directed
31;96;Directed
96;100;Directed
100;4;Directed
4;179;Directed
179;11;Directed
11;80;Directed
80;123;Directed
123;182;Directed
182;66;Directed
66;69;Directed
69;123;Directed
123;9;Directed
9;66;Directed
123;156;Directed
123;10;Directed
10;69;Directed
69;66;Directed
66;182;Directed
66;13;Directed
13;123;Directed
123;12;Directed
12;182;Directed
66;123;Directed
123;69;Directed
4;11;Directed
11;123;Directed
