Source;Target;Type
1;50;Directed
50;72;Directed
72;50;Directed
72;38;Directed
38;71;Directed
71;118;Directed
118;17;Directed
17;123;Directed
123;138;Directed
138;143;Directed
143;149;Directed
149;50;Directed
50;24;Directed
24;144;Directed
144;168;Directed
168;50;Directed
71;71;Directed
71;24;Directed
24;118;Directed
50;144;Directed
144;170;Directed
170;50;Directed
50;168;Directed
168;156;Directed
156;168;Directed
168;98;Directed
98;50;Directed
24;89;Directed
89;85;Directed
85;89;Directed
89;98;Directed
98;123;Directed
123;85;Directed
85;168;Directed
50;50;Directed
