Source;Target;Type
50;168;Directed
168;50;Directed
50;144;Directed
144;50;Directed
50;71;Directed
71;85;Directed
85;168;Directed
168;144;Directed
144;168;Directed
168;168;Directed
168;98;Directed
98;50;Directed
144;66;Directed
66;178;Directed
178;66;Directed
66;143;Directed
143;138;Directed
138;24;Directed
24;168;Directed
168;156;Directed
156;24;Directed
24;89;Directed
89;144;Directed
144;98;Directed
98;168;Directed
156;98;Directed
50;24;Directed
24;93;Directed
93;168;Directed
50;66;Directed
66;144;Directed
144;24;Directed
24;156;Directed
156;168;Directed
50;89;Directed
89;98;Directed
98;152;Directed
152;144;Directed
144;178;Directed
178;168;Directed
24;152;Directed
152;156;Directed
156;50;Directed
24;96;Directed
96;106;Directed
106;98;Directed
98;149;Directed
149;50;Directed
50;50;Directed
144;71;Directed
