Source;Target;Type
73;23;Directed
23;179;Directed
179;17;Directed
17;148;Directed
148;176;Directed
176;100;Directed
100;168;Directed
168;50;Directed
50;57;Directed
57;24;Directed
24;176;Directed
100;145;Directed
145;64;Directed
64;50;Directed
50;73;Directed
23;89;Directed
89;100;Directed
168;181;Directed
181;180;Directed
180;9;Directed
9;123;Directed
123;134;Directed
134;145;Directed
145;50;Directed
50;24;Directed
24;117;Directed
117;73;Directed
73;152;Directed
152;73;Directed
73;100;Directed
100;109;Directed
109;118;Directed
118;17;Directed
17;100;Directed
100;1;Directed
1;150;Directed
150;148;Directed
148;72;Directed
72;64;Directed
64;73;Directed
17;150;Directed
148;50;Directed
50;50;Directed
