Source;Target;Type
17;89;Directed
89;168;Directed
168;50;Directed
50;168;Directed
50;109;Directed
109;17;Directed
89;24;Directed
24;109;Directed
109;24;Directed
109;50;Directed
50;57;Directed
57;121;Directed
121;17;Directed
50;17;Directed
17;118;Directed
118;17;Directed
17;145;Directed
145;17;Directed
89;31;Directed
31;89;Directed
89;145;Directed
145;89;Directed
89;152;Directed
152;100;Directed
100;176;Directed
176;100;Directed
100;152;Directed
100;168;Directed
168;174;Directed
174;50;Directed
57;168;Directed
168;171;Directed
171;50;Directed
57;109;Directed
24;110;Directed
110;109;Directed
109;113;Directed
113;24;Directed
109;112;Directed
112;50;Directed
57;118;Directed
24;57;Directed
