Source;Target;Type
50;123;Directed
123;50;Directed
50;66;Directed
66;123;Directed
123;123;Directed
123;124;Directed
124;152;Directed
152;152;Directed
152;50;Directed
50;50;Directed
50;152;Directed
50;57;Directed
57;56;Directed
56;152;Directed
50;107;Directed
107;24;Directed
24;80;Directed
80;50;Directed
123;2;Directed
2;2;Directed
2;37;Directed
37;50;Directed
2;123;Directed
123;134;Directed
134;133;Directed
133;50;Directed
56;50;Directed
123;66;Directed
66;124;Directed
152;57;Directed
56;107;Directed
80;2;Directed
37;134;Directed
