Source;Target;Type
50;24;Directed
24;146;Directed
146;50;Directed
50;123;Directed
123;50;Directed
50;66;Directed
66;123;Directed
123;146;Directed
50;168;Directed
168;50;Directed
50;109;Directed
109;24;Directed
24;117;Directed
117;123;Directed
50;96;Directed
96;168;Directed
50;89;Directed
89;80;Directed
80;168;Directed
168;6;Directed
6;81;Directed
81;179;Directed
179;153;Directed
153;81;Directed
81;75;Directed
75;2;Directed
2;81;Directed
81;83;Directed
83;153;Directed
153;157;Directed
157;81;Directed
75;157;Directed
81;2;Directed
81;6;Directed
81;50;Directed
146;123;Directed
123;66;Directed
66;168;Directed
168;109;Directed
109;117;Directed
117;96;Directed
96;89;Directed
80;6;Directed
153;75;Directed
2;83;Directed
83;157;Directed
