Source;Target;Type
31;89;Directed
89;152;Directed
152;48;Directed
48;109;Directed
109;50;Directed
50;77;Directed
77;100;Directed
100;168;Directed
168;50;Directed
50;71;Directed
71;72;Directed
72;123;Directed
123;146;Directed
146;50;Directed
50;57;Directed
57;123;Directed
123;168;Directed
50;24;Directed
24;154;Directed
154;168;Directed
50;66;Directed
66;143;Directed
143;168;Directed
168;120;Directed
120;24;Directed
24;100;Directed
100;152;Directed
152;50;Directed
50;17;Directed
17;89;Directed
89;168;Directed
100;109;Directed
109;24;Directed
24;31;Directed
24;89;Directed
89;145;Directed
145;152;Directed
152;120;Directed
50;31;Directed
