Source;Target;Type
50;168;Directed
168;168;Directed
168;50;Directed
50;95;Directed
95;117;Directed
117;168;Directed
50;64;Directed
64;66;Directed
66;75;Directed
75;76;Directed
76;77;Directed
77;179;Directed
179;176;Directed
176;179;Directed
179;9;Directed
9;17;Directed
17;143;Directed
143;95;Directed
95;168;Directed
168;163;Directed
163;168;Directed
50;123;Directed
123;50;Directed
50;139;Directed
139;109;Directed
109;24;Directed
24;29;Directed
29;2;Directed
2;66;Directed
66;145;Directed
145;24;Directed
24;31;Directed
31;109;Directed
31;89;Directed
89;145;Directed
24;9;Directed
9;123;Directed
123;168;Directed
168;100;Directed
100;168;Directed
50;138;Directed
138;50;Directed
50;50;Directed
168;95;Directed
117;64;Directed
176;9;Directed
143;163;Directed
163;123;Directed
123;139;Directed
