Source;Target;Type
71;138;Directed
138;71;Directed
71;96;Directed
96;117;Directed
117;96;Directed
96;168;Directed
168;138;Directed
138;150;Directed
150;96;Directed
96;16;Directed
16;100;Directed
100;99;Directed
99;152;Directed
152;71;Directed
71;71;Directed
71;146;Directed
146;51;Directed
51;75;Directed
75;50;Directed
50;146;Directed
146;81;Directed
81;51;Directed
51;66;Directed
66;146;Directed
75;66;Directed
51;168;Directed
168;71;Directed
168;80;Directed
80;176;Directed
176;80;Directed
80;152;Directed
152;80;Directed
80;117;Directed
117;127;Directed
127;117;Directed
117;17;Directed
17;152;Directed
152;176;Directed
176;152;Directed
152;181;Directed
181;117;Directed
17;80;Directed
80;71;Directed
138;96;Directed
117;168;Directed
168;150;Directed
150;16;Directed
152;146;Directed
50;81;Directed
81;66;Directed
66;80;Directed
176;127;Directed
127;17;Directed
17;181;Directed
181;107;Directed
