Source;Target;Type
67;66;Directed
66;123;Directed
123;149;Directed
149;50;Directed
50;17;Directed
17;96;Directed
96;168;Directed
168;109;Directed
109;17;Directed
168;67;Directed
168;50;Directed
50;67;Directed
123;117;Directed
117;17;Directed
96;152;Directed
152;67;Directed
67;62;Directed
62;30;Directed
30;117;Directed
117;96;Directed
96;123;Directed
123;152;Directed
152;1;Directed
1;165;Directed
165;67;Directed
62;123;Directed
1;169;Directed
169;67;Directed
67;154;Directed
154;165;Directed
165;64;Directed
64;67;Directed
109;117;Directed
117;152;Directed
152;62;Directed
30;165;Directed
165;169;Directed
169;154;Directed
154;64;Directed
64;107;Directed
