Source;Target;Type
123;134;Directed
134;100;Directed
100;131;Directed
131;163;Directed
163;168;Directed
168;50;Directed
50;31;Directed
31;100;Directed
100;168;Directed
50;170;Directed
170;50;Directed
50;66;Directed
66;61;Directed
61;138;Directed
138;137;Directed
137;100;Directed
100;150;Directed
150;50;Directed
50;9;Directed
9;131;Directed
131;168;Directed
50;50;Directed
50;17;Directed
17;91;Directed
91;89;Directed
89;123;Directed
50;123;Directed
31;170;Directed
170;66;Directed
137;150;Directed
150;9;Directed
9;17;Directed
