Source;Target;Type
24;32;Directed
32;31;Directed
31;30;Directed
30;31;Directed
31;32;Directed
32;24;Directed
24;111;Directed
111;24;Directed
30;50;Directed
50;148;Directed
148;123;Directed
123;120;Directed
120;100;Directed
100;120;Directed
120;123;Directed
123;50;Directed
50;109;Directed
109;24;Directed
109;31;Directed
31;109;Directed
109;50;Directed
50;128;Directed
128;123;Directed
123;166;Directed
166;50;Directed
50;120;Directed
120;31;Directed
100;168;Directed
168;24;Directed
50;147;Directed
147;123;Directed
109;100;Directed
123;154;Directed
154;168;Directed
168;71;Directed
71;24;Directed
30;111;Directed
111;50;Directed
66;31;Directed
31;100;Directed
100;168;Directed
168;50;Directed
50;139;Directed
139;168;Directed
168;66;Directed
66;109;Directed
109;139;Directed
139;146;Directed
146;150;Directed
150;66;Directed
50;31;Directed
31;89;Directed
89;168;Directed
168;109;Directed
109;31;Directed
31;139;Directed
139;89;Directed
89;17;Directed
17;89;Directed
89;31;Directed
168;153;Directed
153;168;Directed
50;123;Directed
123;150;Directed
150;50;Directed
50;168;Directed
168;64;Directed
64;66;Directed
139;109;Directed
109;146;Directed
150;89;Directed
17;153;Directed
153;123;Directed
123;64;Directed
31;152;Directed
152;168;Directed
168;50;Directed
50;74;Directed
74;152;Directed
152;162;Directed
162;120;Directed
120;17;Directed
17;89;Directed
89;152;Directed
152;80;Directed
80;152;Directed
152;160;Directed
160;66;Directed
66;74;Directed
152;120;Directed
152;152;Directed
152;117;Directed
117;24;Directed
24;152;Directed
152;74;Directed
120;31;Directed
74;162;Directed
89;80;Directed
80;160;Directed
66;117;Directed
48;110;Directed
110;31;Directed
31;110;Directed
31;89;Directed
89;152;Directed
152;175;Directed
175;117;Directed
117;31;Directed
31;29;Directed
29;89;Directed
175;170;Directed
170;168;Directed
168;31;Directed
152;168;Directed
168;129;Directed
129;38;Directed
38;107;Directed
107;109;Directed
109;120;Directed
120;17;Directed
17;89;Directed
89;31;Directed
168;117;Directed
31;33;Directed
33;29;Directed
24;30;Directed
30;49;Directed
49;109;Directed
109;24;Directed
30;118;Directed
118;20;Directed
20;96;Directed
96;101;Directed
101;100;Directed
100;105;Directed
105;102;Directed
102;109;Directed
109;6;Directed
6;109;Directed
109;21;Directed
21;24;Directed
109;1;Directed
1;46;Directed
46;109;Directed
1;118;Directed
20;100;Directed
100;2;Directed
2;109;Directed
109;50;Directed
50;57;Directed
57;109;Directed
109;96;Directed
96;109;Directed
1;24;Directed
168;171;Directed
171;64;Directed
64;71;Directed
71;120;Directed
120;179;Directed
179;22;Directed
22;100;Directed
100;99;Directed
99;24;Directed
24;177;Directed
177;120;Directed
120;22;Directed
22;89;Directed
89;24;Directed
24;168;Directed
168;65;Directed
65;31;Directed
31;100;Directed
100;168;Directed
71;65;Directed
65;24;Directed
24;100;Directed
100;163;Directed
163;168;Directed
168;166;Directed
166;64;Directed
64;6;Directed
6;17;Directed
17;89;Directed
89;17;Directed
17;22;Directed
22;64;Directed
64;85;Directed
85;81;Directed
81;120;Directed
120;85;Directed
85;85;Directed
85;117;Directed
117;100;Directed
171;50;Directed
50;71;Directed
65;100;Directed
89;155;Directed
155;176;Directed
176;64;Directed
64;31;Directed
31;85;Directed
85;168;Directed
168;64;Directed
64;9;Directed
9;85;Directed
85;155;Directed
31;61;Directed
61;179;Directed
179;30;Directed
30;168;Directed
168;72;Directed
72;179;Directed
179;168;Directed
66;123;Directed
123;96;Directed
96;95;Directed
95;181;Directed
181;66;Directed
66;3;Directed
3;2;Directed
2;8;Directed
8;181;Directed
123;95;Directed
95;66;Directed
66;66;Directed
66;85;Directed
85;66;Directed
