Id;Label
1;A
2;A#
3;A#/A
4;A#6
5;A#6/C
6;A#7
7;A#9
8;A#add9
9;A#dim
10;A#m
11;A#m6
12;A#m7
13;A#m7/5-
14;A#maj7
15;A4/7
16;A5+
17;A7
18;A7/13-
19;A7/9
20;A7/9-
21;A7M
22;A9
23;Adim
24;Am
25;Am/C
26;Am/D
27;Am/G
28;Am5+
29;Am5-/7
30;Am6
31;Am7
32;Am7+
33;Am7/D
34;Am7/F
35;Am7/G
36;Am9
37;B
38;B7
39;Bb
40;Bb7
41;Bb7/11+
42;Bb7M
43;Bb9
44;Bdim
45;Bdim7
46;Bm
47;Bm4/7
48;Bm5-/7
49;Bm7
50;C
51;C#
52;C#7
53;C#9
54;C#m
55;C#m7
56;C/A
57;C/B
58;C/E
59;C/F
60;C4
61;C4/7
62;C5+
63;C5-/7
64;C6
65;C6/9
66;C7
67;C7+
68;C7/13-
69;C7/5+
70;C7/9
71;C7M
72;C9
73;Cdim
74;Cdim7
75;Cm
76;Cm6
77;Cm7
78;Cmaj7
79;Csus4
80;D
81;D#
82;D#6
83;D#7
84;D#9
85;D#dim
86;D#m
87;D#m7
88;D5-/7
89;D7
90;D7/13
91;D7/9
92;D7/9-
93;D7M
94;D9
95;Ddim
96;Dm
97;Dm/C
98;Dm5-/7
99;Dm6
100;Dm7
101;Dm7+
102;Dm7/13
103;Dm7/5-
104;Dm7/9
105;Dm7/C
106;Dm7/G
107;E
108;E4/7
109;E7
110;E7/13-
111;E7/9-
112;E7/A
113;E7/B
114;E7M
115;Ebm7
116;Edim
117;Em
118;Em5-/7
119;Em6
120;Em7
121;Em7/5-
122;Em7/A
123;F
124;F#
125;F#7
126;F#dim
127;F#m
128;F#m5-/7
129;F#m7
130;F#maj7
131;F/A
132;F/C
133;F/D
134;F/E
135;F/G
136;F4/7
137;F5
138;F6
139;F7
140;F7/9
141;F7/A
142;F7/C
143;F7M
144;F9
145;Fdim
146;Fm
147;Fm#5-/7
148;Fm5-/7
149;Fm6
150;Fm7
151;Fmaj7
152;G
153;G#
154;G#7
155;G#9
156;G#dim
157;G#m
158;G#m5-/7
159;G#maj7
160;G/B
161;G/C
162;G/F#
163;G4/7
164;G4/7/9
165;G5+
166;G6
167;G6/9
168;G7
169;G7+
170;G7/13
171;G7/13-
172;G7/9
173;G7/9-
174;G7/B
175;G7M
176;G9
177;G9/13-
178;Gdim
179;Gm
180;Gm5-/7
181;Gm7
182;Gm7/5-
183;Gsus4
